gene_name,number_of_reads_mapped
group_4080,8
nadK_nadK_2,7
ilvE,6
hemN_2_hemN_3,6
group_154,6
gntK,6
alaA,6
rpmF,5
manX_2,5
ilvH,5
group_747,5
glcC,5
dksA,5
bamE,5
bamD_bamD_1,5
yniC_2,4
ygaZ,4
tsaE,4
trxA_1,4
rpsU,4
rplX,4
rplT,4
rplE,4
pta,4
plaP,4
nusA,4
nuoH,4
grpE_grpE_1_grpE_2,4
group_1656,4
glpK_2,4
galS,4
exbB_1_exbB_2,4
dus,4
cidA,4
yhdT,3
yfcE,3
yehT_yehT_1,3
yciK,3
yccF,3
slyX,3
sdhC,3
rpsS,3
rpsN,3
rpsI,3
rplV,3
rplR,3
rplO,3
rplK,3
rplD,3
rplA,3
plsY,3
nuoI_2_nuoI_1,3
nfuA,3
mreD,3
ibpB,3
group_8044,3
group_799,3
group_78,3
group_4205,3
group_125,3
group_1239,3
fucU,3
frr,3
folE_folE_2,3
engB,3
dxr,3
dps,3
dnaB,3
diaA,3
csrA,3
cpxA_cpxA_1,3
clpS,3
cfa,3
can,3
ampD,3
yjaB_2,2
yhcB,2
ygdR_1,2
udp,2
tusB,2
trxA_2,2
thiS,2
suhB,2
sucD,2
Stx2i_43_OLC3602|1242nt,2
sfsA,2
rsmD_rsmD_2,2
rpsR,2
rpsQ,2
rpsL,2
rpsG,2
rpsF,2
rpsE,2
rpsC,2
rpsB,2
rpmE,2
rpmD,2
rplW,2
rplP,2
rplN,2
rplJ,2
rplC,2
rpe_2,2
ribC,2
ribA,2
rbfA,2
queD,2
pyrI,2
pyrF,2
priB,2
pldB_pldB_2,2
pal,2
O/O8-16-wzm/1-795,2
ompX_1,2
nuoB,2
nudE,2
nagA_1,2
mtnN,2
msrB,2
mntS,2
menI,2
lolB,2
leuD,2
ispF,2
iscA_2,2
ilvM,2
ibpA,2
hslV,2
H/H19-5-fliC/1-1832,2
hflC,2
group_8049,2
group_8038,2
group_755,2
group_6151,2
group_4140,2
group_4003,2
group_3713,2
group_334,2
group_2461,2
group_1997,2
group_1743,2
gph,2
glpR_4_glpR_5_glpR_1,2
ftsB,2
folB,2
exbD_2,2
erpA,2
dsrF,2
dnaQ,2
dgkA,2
cysJ_2,2
coaE,2
cnu,2
apt,2
zapD,1
zapA,1
yjcH,1
ygjH,1
ygbE,1
ycdY,1
ybaN,1
uspD_uspD_1,1
uidA:CP146653.1:2405030-2406841,1
udk_udk_1,1
ubiX,1
tusE,1
tusD,1
truA,1
tatC,1
Stx2i_53_FN252457|1242nt,1
Stx2g_39_AJ966783|1242nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
sra,1
slyB,1
slyA,1
satP,1
rsmE,1
rsmA,1
rpsP,1
rpsO,1
rpsJ,1
rpoA,1
rpmC,1
rplM,1
rplL,1
rplF,1
rnt,1
rnhA_rnhA_2_rnhA_1,1
rimP,1
ribF,1
rfaH,1
purC,1
pncC_1,1
pdhR_2,1
osmB,1
O/O8-36-wzt/1-1215,1
O/O8-35-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
ompA,1
nsrR,1
nei,1
murF_murF_1,1
mug,1
msrC,1
mog_mog_2_mog_1,1
moaE,1
moaC,1
minE,1
menA,1
mdaB,1
manZ_1_manZ_2,1
manY,1
luxS,1
lolD_1,1
lexA_4,1
iscR,1
infC,1
htpX,1
hisM,1
hinT,1
H/H19-2-fliC-origin/1-1842,1
H/H19-1-fliC-origin/1-1833,1
hemD,1
grxD,1
group_876,1
group_800,1
group_7366,1
group_7173,1
group_7046,1
group_4687,1
group_4093,1
group_3752,1
group_3581,1
group_338,1
group_3296,1
group_2865,1
group_2620,1
group_1657,1
group_1592,1
group_1521,1
group_1178,1
glnK,1
gcvH,1
gapA,1
fur,1
fldA,1
feoC,1
fdhD,1
fadR,1
fabA,1
dsbE,1
cysC,1
cpxR,1
cetB,1
ccmD,1
ccmC,1
bolA,1
artP,1
aroK,1
argR,1
arfA,1
apaG,1
#rname,numreads
