gene_name,number_of_reads_mapped
ypeA_ypeA_1,4
slyX,3
rpmE,3
rplL,3
rnt,3
murF_murF_1,3
group_747,3
gcvH,3
dxr,3
bssS,3
ygaZ,2
ygaV,2
ybfF,2
ybaN,2
ybaB,2
uspB,2
uidA:CP146653.1:2405030-2406841,2
thiS,2
suhB,2
sucD,2
sspB,2
sfsA,2
seqA,2
rsmE,2
rpsE,2
rpmF,2
rpmD,2
rplO,2
rplJ,2
rplA,2
pdhR_2,2
nuoB,2
nrdH,2
ndhC,2
infC,2
ilvE,2
hisM,2
hflC,2
group_800,2
group_519,2
group_4979,2
group_4080,2
group_3909,2
group_2865,2
group_2620,2
group_1997,2
group_1743,2
group_1178,2
glpR_4_glpR_5_glpR_1,2
gloA,2
glcC,2
fur,2
fldA,2
ehxA:11:EF204925/1-2997,2
dtd,2
dps,2
dksA,2
csrA,2
cpxA_cpxA_1,2
coaE,2
cetB,2
alaA,2
zapD,1
yhdT,1
ygdR_1,1
yfcE,1
yehT_yehT_1,1
yciK,1
yccF,1
ybeY,1
uspD_uspD_1,1
uspA,1
usg_usg_1,1
udp,1
ubiX,1
tusD,1
tusB,1
tsaE,1
trxA_1,1
truA,1
trpC_trpC_1,1
tatD_tatD_2,1
tatC,1
tatB,1
tatA,1
Stx2b_120_2020-SEQ-0314|1236nt,1
sdhE,1
satP,1
rsmD_rsmD_2,1
rpsT,1
rpsQ,1
rpsN,1
rpsI,1
rpsC,1
rpmI,1
rpmC,1
rplX,1
rplT,1
rplR,1
rplP,1
rplN,1
rplK,1
rplF,1
rplE,1
rnhA_rnhA_2_rnhA_1,1
ribF,1
ribC,1
rfaH,1
rbfA,1
queD,1
pyrF,1
pta,1
pncC_1,1
pldB_pldB_2,1
O/O128-3-wzx-origin/1-1443,1
ompX_1,1
nuoI_2_nuoI_1,1
nuoH,1
nfuA,1
nagA_1,1
nadK_nadK_2,1
menA,1
manZ_1_manZ_2,1
manY,1
manX_2,1
luxS,1
lolB,1
lexA_4,1
leuD,1
ispG_ispG_2,1
iscU,1
iscR,1
iscA_1,1
ilvM,1
ilvH,1
ihfB,1
iclR,1
group_876,1
group_8038,1
group_799,1
group_78,1
group_755,1
group_744,1
group_7046,1
group_6151,1
group_568,1
group_4205,1
group_3713,1
group_334,1
group_1656,1
group_1592,1
group_145,1
group_125,1
group_1239,1
gntK,1
glpK_2,1
galS,1
galE,1
fucU,1
ftsL,1
feoC,1
fdhD,1
exbD_2,1
exbB_1_exbB_2,1
dus,1
dsrF,1
dsbE,1
dnaQ,1
crr,1
cpxR,1
cidA,1
ccmC,1
can,1
bamE,1
bamD_bamD_1,1
apt,1
ampD,1
acrZ,1
#rname,numreads
genome_coverage,1.610827X
